

#                 TEMP                   CHI_S                   C_V_S                     E_S                     M_S
# --------------------    --------------------    --------------------    --------------------    --------------------
          0.0000000000            0.0000000000            0.0000000000           -2.0000000000            1.0000000000
          0.1000000015           -0.0001831055            0.0002441406           -1.9999996424            1.0000000000
          0.2000000030            0.0000000000           -0.0002441406           -2.0000000000            1.0000000000
          0.3000000119           -0.0001831055            0.0000000000           -1.9999994040            0.9999999404
          0.4000000060           -0.0001220703            0.0002441406           -1.9999994040            0.9999999404
          0.5000000000           -0.0003051758           -0.0007324219           -1.9999994040            1.0000000000
          0.6000000238           -0.0022583008           -0.0185546875           -1.9999896288            0.9999985099
          0.7000000477           -0.0164184570           -0.1164550781           -1.9999387264            0.9999927878
          0.8000000715           -0.0598754883           -0.4692382812           -1.9997369051            0.9999647141
          0.9000000954           -0.1671752930           -1.1701660156           -1.9991331100            0.9998731017
          1.0000001192           -0.3285522461           -1.8967285156           -1.9976559877            0.9996073246
          1.1000001431           -0.3721313477           -1.9523925781           -1.9945465326            0.9988956451
          1.2000001669           -0.1217041016           -1.0578613281           -1.9889823198            0.9974036217
          1.3000001907            0.3320922852            0.1657714844           -1.9804283381            0.9949439168
          1.4000002146            0.5853881836            0.6262207031           -1.9678959846            0.9913413525
          1.5000002384            0.5272827148            0.5405273438           -1.9512678385            0.9865239859
          1.6000002623            0.3218383789            0.4587402344           -1.9284479618            0.9796885252
          1.7000002861            0.1821899414            0.8300781250           -1.8985797167            0.9702280760
          1.8000003099            0.2048950195            1.2907714844           -1.8592306376            0.9568417072
          1.9000003338            0.3726196289            2.0185546875           -1.8097603321            0.9384454489
          2.0000002384            0.7274780273            2.8757324219           -1.7513988018            0.9115688205
          2.1000001431            2.3831176758            4.2563476562           -1.6675388813            0.8678746819
          2.2000000477            8.8925170898            6.7282714844           -1.5548660755            0.7888485193
          2.2999999523          361.6883544922            9.9549560547           -1.3828176260            0.1166773662
          2.3999998569          140.1312561035            7.4188232422           -1.2188738585           -0.0236718748
          2.4999997616           59.8396911621            5.3680419922           -1.1108376980           -0.0010864844
          2.5999996662           37.0274047852            4.6031494141           -1.0334696770            0.0017376757
          2.6999995708           23.6559486389            4.1834716797           -0.9677205682           -0.0004075586
          2.7999994755           17.6051216125            4.0114135742           -0.9108532667           -0.0040138280
          2.8999993801           13.6844863892            3.8894042969           -0.8638027906           -0.0006242383
          2.9999992847           11.7608299255            3.7896728516           -0.8218876719           -0.0008406250
          3.0999991894            9.8094959259            3.6408081055           -0.7834708095           -0.0005548047
          3.1999990940            8.5034065247            3.4655761719           -0.7488723993            0.0011733008
          3.2999989986            7.7434358597        15325.4912109375           -3.6533775330           -0.0011895898
          3.3999989033            6.6730217934           -0.9375000000           -8.7295436859           -0.0000893555
          3.4999988079            6.1923546791            1.0156250000           -8.7017059326           -0.0007050781
          3.5999987125            5.6348567009            2.8203125000           -8.6807050705            0.0006313476
          3.6999986172            5.1577811241            2.0156250000           -8.6654396057           -0.0005827734
          3.7999985218            4.8637728691            2.4296875000           -8.6444272995           -0.0001075781
          3.8999984264            4.5637950897        16416.1562500000          -12.9687099457           -0.0000046680
          3.9999983311            4.2713284492           13.3437500000          -16.6469669342           -0.0000078906
